dataset_id,dataset_name,sample_code,village,latitude,longitude,sampling_depth_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,sampling_year,source
H1,PADERU_82_SAMPLES,S32,Devapuram,17.955,82.814,0-30,6.6,0.20,86,240,163,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S33,Devapuram,17.964,82.785,0-30,6.9,0.19,86,125,105,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S34,Devapuram,17.960,82.790,0-30,6.8,0.27,157,48,36,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S35,Gurramanupanuku,18.062,82.632,0-30,6.2,0.11,66,29,148,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S36,Gurramanupanuku,18.062,82.617,0-30,6.0,0.12,76,43,108,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S37,Gurragaruvu,18.048,82.743,0-30,5.4,0.24,97,10,171,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S38,Gurragaruvu,18.041,82.728,0-30,5.2,0.27,132,19,144,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S39,Gurragaruvu,18.040,82.717,0-30,5.2,0.46,132,5,76,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S40,Gurragaruvu,18.032,82.721,0-30,5.4,0.28,132,10,54,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S41,Vanugupalli,18.030,82.683,0-30,5.3,0.11,122,5,59,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S42,Bangarumetta,18.021,82.664,0-30,6.9,0.24,132,10,225,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S43,Jeedipagada,18.017,82.655,0-30,5.6,0.04,137,10,54,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S44,Jeedipagada,17.961,82.750,0-30,5.5,0.11,137,14,73,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S45,Birimisala,18.031,82.677,0-30,5.4,0.10,132,96,54,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S46,Birimisala,18.029,82.670,0-30,6.4,0.17,132,24,323,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S47,Guttulaputtu,18.129,82.642,0-30,6.9,0.52,97,5,69,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S48,Guttulaputtu,18.106,82.646,0-30,4.8,0.87,97,34,363,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S49,Guttulaputtu,18.115,82.647,0-30,5.4,0.18,81,10,58,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S50,Bantrothuputtu,18.132,82.547,0-30,5.1,0.20,91,48,105,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S51,Iradapalli,18.072,82.607,0-30,5.7,0.11,254,10,40,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S52,Iradapalli,18.099,82.614,0-30,6.0,0.24,254,5,22,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
H1,PADERU_82_SAMPLES,S53,Kavirai,18.128,82.625,0-30,6.3,0.12,152,87,69,2017,"Desavathu, Nadipena & Peddada, Egyptian Journal of Remote Sensing and Space Sciences"
