dataset_id,dataset_name,mandal,site_no,latitude,longitude,stage,date_start,date_end,depth_top_cm,depth_bottom_cm,ph,electrical_conductivity_dS_m,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,organic_carbon_g_kg,source
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Narsipatnam,4,17.6592,82.6094,after,2018-11-06,2018-11-11,0,15,7.1,0.31,208.2,18.4,201,3.1,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Narsipatnam,5,17.661,82.6097,before,2018-05-07,2018-05-13,0,15,7.5,0.31,208.2,22.1,212.4,3.2,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Narsipatnam,5,17.661,82.6097,during,2018-08-11,2018-08-16,0,15,7.5,0.31,209.7,20.9,216.3,3.2,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Narsipatnam,5,17.661,82.6097,after,2018-11-06,2018-11-11,0,15,7.4,0.31,201.3,16.1,200.2,3.1,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,1,17.6714,83.0082,before,2018-05-07,2018-05-13,0,15,7.2,0.26,190.2,29.6,296.1,2.72,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,1,17.6714,83.0082,during,2018-08-11,2018-08-16,0,15,7.2,0.26,192.5,32.4,304.4,2.68,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,1,17.6714,83.0082,after,2018-11-06,2018-11-11,0,15,7.2,0.26,188.4,28.9,293.5,2.65,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,2,17.6994,83.005,before,2018-05-07,2018-05-13,0,15,7.54,0.32,192.4,34.1,348.8,2.43,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,2,17.6994,83.005,during,2018-08-11,2018-08-16,0,15,7.54,0.32,196.8,37.3,360.8,2.39,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,2,17.6994,83.005,after,2018-11-06,2018-11-11,0,15,7.54,0.31,191.5,31.6,351.8,2.36,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,3,17.4646,83.0048,before,2018-05-07,2018-05-13,0,15,6.9,0.29,181.2,26.9,258.9,2.11,Patra et al. (2020)
H2,VISAKHAPATNAM_KHARIF_RICE_2018,Anakapalle,3,17.4646,83.0048,during,2018-08-11,2018-08-16,0,15,6.9,0.29,190.6,28.5,262.9,2.06,Patra et al. (2020)
